mcc_code,description,bill,merchant
4215,"Courier Services-Air and Ground, and Freight Forwarders?",,1
4225,"Public Warehousing-Farm products, Refrigerated Goods, Household Goods, and Storage",,1
4411,Steamship and Cruise Lines,,1
4457,Boat Rentals and Leasing,,1
4468,"Marinas, Marine Service, and Supplies",,1
4511,Airlines and Air Carriers,,1
4582,"Airports, Flying Fields, and Airport Terminals?",,1
4722,Travel Agencies,,1
4723,Package Tour Operators (Germany Only),,1
4761,Telemarketing of Travel Related Services and Vitamins,,1
4784,"Bridge and Road Fees, Tolls",,
4789,Transportation Services-not elsewhere classified,,1
4812,Telecommunication Equipment and Telephone Sales?,,1
4813,Special Telecom Merchant,,1
4814,"Telecommunication Services, Including Local and Long Distance Calls, Credit Card Calls, Call Through Use of Magnetic-Strip-Reading Telephones, and Fax Services?",,1
4815,Monthly Summary Telephone Charges,,1
4816,"Computer Network/Information Services and other Online Services such as electronic bulletin board, e-mail, web site hosting services, or Internet access",,1
4821,Telegraph Services,,1
4829,Quasi Cash - Money Transfer,,1
4899,"Cable, Satellite, and Other Pay Television and Radio Services",1,1
4900,"Utilities-Electric, Gas, Water, and Sanitary",1,1
5013,Motor Vehicle Supplies and New Parts (Business to Business MCC),,1
5021,Office Furniture (Business to Business MCC),,1
5039,Construction Materials Not Elsewhere Classified (Business to Business MCC),,1
5044,"Photographic, Photocopy, Microfilm Equipment and Supplies (Business to Business MCC)",,1
5045,"Computers, Computer Peripheral Equipment, and Software?",,1
5046,Commercial Equipment Not Elsewhere Classified (Business to Business MCC),,1
5047,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment and Supplies,,1
5051,Metal Service Centers and Offices (Business to Business MCC),,1
5065,Electrical Parts and Equipment (Business to Business MCC)?,,1
5072,"Hardware, Plumbing, Heat Equipment and Supplies (Business to Business MCC)",,1
5074,Plumbing and Heating Equipment and Supplies (Business to Business MCC),,1
5085,Industrial Supplies Not Elsewhere Classified (Business to Business MCC),,1
5094,"Precious Stones, Metals, Watches and Jewelry (Business to Business MCC)",,1
5099,Durable Goods Not Elsewhere Classified (Business to Business MCC),,1
5111,"Stationery, Office Supplies, and Printing and Writing Paper",,1
5122,"Drugs, Drug Proprietary's, and Druggists' Sundries",,1
5131,"Piece Goods, Notions and Other Dry Goods (Business to Business MCC)",,1
5137,"Men's, Women's and Children's Uniforms (Business to Business MCC)",,1
5139,Commercial Footwear (Business to Business MCC),,1
5169,Chemicals and Allied Products Not Elsewhere Classified (Business to Business MCC),,1
5172,Petroleum and Products (Business to Business MCC),,1
5192,"Books, Periodicals and Newspapers (Business to Business MCC)",,1
5193,"Florist Suppliers, Nursery Stock & Flowers (Business to Business MCC)",,1
5198,"Paints, Varnishes and Supplies (Business to Business MCC)",,1
5199,Non-durable Goods Not Elsewhere Classified (Business to Business MCC),,1
5200,Home Supply Warehouse,,1
5211,Lumber & Building Materials Stores,,1
5231,"Glass, Paint, and Wallpaper Stores",,1
5251,"Hardware Stores, Equipment Utilities Regulated",,1
5261,Nurseries and Lawn and Garden Supply Stores?,,1
5271,Mobile Home Dealer,,1
5300,Wholesale Club with or without membership fee?,,
5309,Duty Free Stores,,1
5310,Discount Store,,1
5311,Department Stores,,1
5331,Variety Stores,,1
5399,Miscellaneous General Merchandise,,1
5411,Grocery Stores and Supermarkets,,1
5422,Freezer & Locker Meat Provisions,,1
5441,"Candy, Nut, and Confectionary Stores",,1
5451,Dairy Product Stores,,1
5462,Bakeries,,1
5499,Miscellaneous Food Stores-Convenience Stores and Specialty Markets,,1
5511,"Car and Truck Dealers (New and Used)- Sales, Service, Repairs, Parts, and Leasing",,1
5521,"Car and Truck Dealers (Used)- Sales, Service, Repairs, Parts, and Leasing",,1
5532,Automotive Tire Stores,,1
5531,Auto and Home Supply Stores,,1
5533,Automotive Parts and Accessories Stores,,1
5541,Service Stations (with or without Ancillary Services),,1
5542,Automated Fuel Dispensers,,1
5551,Boat Dealers,,1
5561,"Camper, Recreational and Utility Trailer Dealers",,1
5571,Motorcycle Dealers,,1
5592,Motor Home Dealers,,1
5598,Snowmobile Dealers,,1
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers --Not Elsewhere Classified",,1
5611,Men's & Boys' Clothing and Accessory Stores?,,1
5621,Women's Ready-to-Wear Stores,,1
